session,profile,mode,step,status,reason
baseline,dc_lan,classical,latency,pass,
baseline,dc_lan,classical,capture,pass,
baseline,dc_lan,classical,concurrency,pass,
baseline,dc_lan,hybrid,latency,pass,
baseline,dc_lan,hybrid,capture,pass,
baseline,dc_lan,hybrid,concurrency,pass,
baseline,dc_lan,pqc,latency,pass,
baseline,dc_lan,pqc,capture,pass,
baseline,dc_lan,pqc,concurrency,pass,
baseline,cross_region,classical,latency,pass,
baseline,cross_region,classical,capture,pass,
baseline,cross_region,classical,concurrency,pass,
baseline,cross_region,hybrid,latency,pass,
baseline,cross_region,hybrid,capture,pass,
baseline,cross_region,hybrid,concurrency,pass,
baseline,cross_region,pqc,latency,pass,
baseline,cross_region,pqc,capture,pass,
baseline,cross_region,pqc,concurrency,pass
